Nicolas Andres,Huarte,29369913,1989-12-05,6857
Maria Antonella,Leiva,24260718,1987-08-01,8676
Martina Pilar,Mamani,27726965,1994-03-16,8848
Bautista Ezequiel,Farina,26869836,1999-06-02,517
Lara Agustina,Rivas,28045551,1995-03-16,7173
Joaquin Ariel,De León,34808789,2003-01-26,2641
Tomas Uriel,Carrizo,21639989,2000-11-05,3824
Lautaro Maximiliano,Gonzales,31977925,1984-08-06,9446
Santiago Román,Mariani,39201395,1996-08-03,2851
Valentina,Andrade,32722649,1984-05-28,767
Santiago,Varela,22002606,1982-06-17,3578
Martina,Ibáñez,35286793,2002-04-09,6171
